"STATION","NAME","DATE","ACMH","ACSH","AWND","FMTM","FRGT","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WESD","WSF1","WSF2","WSF5","WSFG","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV01","WV03"
"USW00024227","OLYMPIA AIRPORT, WA US","1960-01-01",,,,,,,"0.00","0.0","0.0",,"39","18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-01-02",,,,,,,"0.02","0.2","0.0",,"35","27",,,,,,,,,,,"    1",,,,,,,,,,,,,,,"    1",,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-01-03",,,,,,,"0.00","0.0","0.0",,"36","22",,,,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-01-04",,,,,,,"0.01","0.1","0.0",,"35","28",,,,,,,,,,,"    1",,,,,,,,,,,,,"    1",,"    1",,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-01-05",,,,,,,"0.13","0.0","0.0",,"39","33",,,,,,,,,,,"    1",,,,,,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-01-06",,,,,,,"0.06","0.0","0.0",,"46","36",,,,,,,,,,,"    1",,,,,,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-01-07",,,,,,,"0.07","0.0","0.0",,"46","38",,,,,,,,,,,"    1",,,,,,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-01-08",,,,,,,"0.00","0.0","0.0",,"44","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-01-09",,,,,,,"0.00","0.0","0.0",,"39","30",,,,,,,,,,,"    1",,,,,,,,,,,,,,,"    1",,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-01-10",,,,,,,"0.18","2.3","0.0",,"34","28",,,,,,,,,,,"    1",,,,,,,,,,,,,"    1",,"    1",,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-01-11",,,,,,,"0.02","0.0","1.0",,"37","32",,,,,,,,,,,"    1",,,,,,,,,,,,,"    1",,"    1",,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-01-12",,,,,,,"0.00","0.0","0.0",,"39","32",,,,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-01-13",,,,,,,"0.06","0.3","0.0",,"40","29",,,,,,,,,,,,,,,,,,,,,,,,"    1",,"    1",,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-01-14",,,,,,,"0.19","0.0","0.0",,"39","31",,,,,,,,,,,"    1",,,,,,,,,,,,,"    1",,"    1",,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-01-15",,,,,,,"0.04","0.0","0.0",,"38","28",,,,,,,,,,,"    1",,,,,,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-01-16",,,,,,,"0.08","0.0","0.0",,"40","35",,,,,,,,,,,"    1",,,,,,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-01-17",,,,,,,"0.01","0.0","0.0",,"46","21",,,,,,,,,,,"    1",,,,,,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-01-18",,,,,,,"0.00","0.0","0.0",,"42","17",,,,,,,,,,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-01-19",,,,,,,"0.29","4.2","0.0",,"35","30",,,,,,,,,,,"    1",,,,,,,,,,,,,,,"    1",,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-01-20",,,,,,,"0.03","0.0","4.0",,"40","24",,,,,,"0.3",,,,,"    1",,,,,"    1",,,,,,,,"    1",,"    1",,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-01-21",,,,,,,"0.03","0.0","2.0",,"42","24",,,,,,"0.2",,,,,"    1",,,,,,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-01-22",,,,,,,"0.27","0.0","2.0",,"41","25",,,,,,"0.2",,,,,"    1",,,,,"    1",,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-01-23",,,,,,,"1.11","0.0","0.0",,"40","31",,,,,,,,,,,"    1",,,,,,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-01-24",,,,,,,"0.90","0.0","0.0",,"46","40",,,,,,,,,,,"    1",,,,,,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-01-25",,,,,,,"0.61","0.0","0.0",,"47","37",,,,,,,,,,,"    1",,,,,,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-01-26",,,,,,,"0.08","0.0","0.0",,"48","40",,,,,,,,,,,"    1",,,,,,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-01-27",,,,,,,"0.10","0.0","0.0",,"50","31",,,,,,,,,,,"    1",,,,,,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-01-28",,,,,,,"1.50","0.0","0.0",,"53","29",,,,,,,,,,,"    1",,,,,,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-01-29",,,,,,,"0.53","0.0","0.0",,"57","45",,,,,,,,,,,"    1",,,,,,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-01-30",,,,,,,"0.00","0.0","0.0",,"56","34",,,,,,,,,,,"    1",,,,,,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-01-31",,,,,,,"0.03","0.0","0.0",,"51","33",,,,,,,,,,,"    1",,,,,,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-02-01",,,,,,,"0.13","0.0","0.0",,"51","42",,,,,,,,,,,"    1",,,,,,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-02-02",,,,,,,"0.55","0.0","0.0",,"50","40",,,,,,,,,,,"    1",,,,,,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-02-03",,,,,,,"0.28","0.0","0.0",,"49","40",,,,,,,,,,,"    1",,,,,,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-02-04",,,,,,,"0.10","0.0","0.0",,"55","42",,,,,,,,,,,"    1",,,,,,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-02-05",,,,,,,"0.09","0.0","0.0",,"53","32",,,,,,,,,,,,,,,,,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-02-06",,,,,,,"1.45","0.0","0.0",,"54","37",,,,,,,,,,,"    1",,,,,,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-02-07",,,,,,,"0.01","0.0","0.0",,"56","34",,,,,,,,,,,,,,,,,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-02-08",,,,,,,"0.71","0.0","0.0",,"50","38",,,,,,,,,,,"    1",,,,,,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-02-09",,,,,,,"0.24","0.0","0.0",,"49","42",,,,,,,,,,,"    1",,,,,,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-02-10",,,,,,,"0.03","0.0","0.0",,"50","37",,,,,,,,,,,,,,,,,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-02-11",,,,,,,"0.00","0.0","0.0",,"47","32",,,,,,,,,,,,,,,,,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-02-12",,,,,,,"0.57","0.0","0.0",,"50","38",,,,,,,,,,,,,,,,,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-02-13",,,,,,,"0.24","0.0","0.0",,"46","35",,,,,,,,,,,,,,,,,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-02-14",,,,,,,"1.02","0.0","0.0",,"49","42",,,,,,,,,,,"    1",,,,,,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-02-15",,,,,,,"0.18","0.0","0.0",,"50","37",,,,,,,,,,,,,,,,,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-02-16",,,,,,,"0.00","0.0","0.0",,"50","27",,,,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-02-17",,,,,,,"0.00","0.0","0.0",,"45","27",,,,,,,,,,,"    1",,,,,,,"    1",,,,,,,,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-02-18",,,,,,,"0.00","0.0","0.0",,"51","27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-02-19",,,,,,,"0.00","0.0","0.0",,"51","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-02-20",,,,,,,"0.31","0.0","0.0",,"54","30",,,,,,,,,,,"    1",,,,,,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-02-21",,,,,,,"0.00","0.0","0.0",,"53","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-02-22",,,,,,,"0.00","0.0","0.0",,"49","26",,,,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-02-23",,,,,,,"0.00","0.0","0.0",,"50","24",,,,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-02-24",,,,,,,"0.02","0.0","0.0",,"41","26",,,,,,,,,,,"    1",,,,,,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-02-25",,,,,,,"0.00","0.0","0.0",,"45","31",,,,,,,,,,,"    1",,,,,,,,,,,,,,,"    1",,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-02-26",,,,,,,"0.00","0.0","0.0",,"41","19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-02-27",,,,,,,"0.00","0.0","0.0",,"43","19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-02-28",,,,,,,"0.00","0.0","0.0",,"44","14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-02-29",,,,,,,"0.00","0.0","0.0",,"46","14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-03-01",,,,,,,"0.00","0.0","0.0",,"45","14",,,,,,,,,,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-03-02",,,,,,,"0.00","0.0","0.0",,"36","26",,,,,,,,,,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-03-03",,,,,,,"0.57","6.6","0.0",,"35","26",,,,,,,,,,,"    1",,,"    1",,"    1",,,,,,,,"    1",,"    1",,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-03-04",,,,,,,"0.30","0.7","7.0",,"39","27",,,,,,"0.6",,,,,"    1",,,,,,,,,,,,,"    1",,"    1",,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-03-05",,,,,,,"0.26","0.0","3.0",,"47","30",,,,,,"0.5",,,,,"    1",,,,,,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-03-06",,,,,,,"0.04","0.0","0.0",,"54","33",,,,,,,,,,,,,,,,,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-03-07",,,,,,,"0.42","0.0","0.0",,"55","35",,,,,,,,,,,,,,,,,,,,,,,,"    1",,"    1",,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-03-08",,,,,,,"0.52","0.9","0.0",,"45","34",,,,,,,,,,,"    1",,,,"    1",,,,,,,,,"    1",,"    1",,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-03-09",,,,,,,"0.31","0.2","0.0",,"44","33",,,,,,,,,,,"    1",,,,"    1","    1",,,,,,,,"    1",,"    1",,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-03-10",,,,,,,"0.44","0.0","0.0",,"47","32",,,,,,,,,,,"    1",,,,"    1",,,,,,,,,"    1",,"    1",,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-03-11",,,,,,,"0.00","0.0","0.0",,"52","29",,,,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-03-12",,,,,,,"0.00","0.0","0.0",,"54","25",,,,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-03-13",,,,,,,"0.10","0.0","0.0",,"49","38",,,,,,,,,,,,,,,,,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-03-14",,,,,,,"0.80","0.0","0.0",,"49","36",,,,,,,,,,,,,,,,,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-03-15",,,,,,,"0.24","0.0","0.0",,"52","43",,,,,,,,,,,,,,,,,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-03-16",,,,,,,"0.00","0.0","0.0",,"48","40",,,,,,,,,,,"    1",,,,,,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-03-17",,,,,,,"0.00","0.0","0.0",,"57","42",,,,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-03-18",,,,,,,"0.00","0.0","0.0",,"55","32",,,,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-03-19",,,,,,,"0.00","0.0","0.0",,"63","30",,,,,,,,,,,"    1",,,,,,,"    1",,,,,,,,,,,,,
